HORA DE TRABAJO A PARTIR DEL DIA MARTES 03 DE DICIEMBRE DE 2024;;;;;;;;;;;;;;;;;;;
DIA;HORA DE SALIDA;ORIGEN;DESTINO;HORA DE LLEGADA BUS;05-mar;06-mar;07-mar;08-mar;09-mar;10-mar;11-mar;12-mar;13-mar;14-mar;15-mar;;;;
1;6:00;AMBATO;QUITO;;67;77;79;80;1;2;3;15;18;22;24;;;;
;18:00;QUITO;LOJA;16:15;;;;;;;;;;;;;;;
;20:15;AMBATO;LOJA;;;;;;;;;;;;;;;;
2;21:45;LOJA;QUITO;;62;67;77;79;80;1;2;3;15;18;22;;;;
3;20:40;QUITO;LOJA;19:15;58;62;67;77;79;80;1;2;3;15;18;;;;
;23:30;AMBATO;LOJA;;;;;;;;;;;;;;;;
4;19:15;LOJA;QUITO;;55;58;62;67;77;79;80;1;2;3;15;;;;
5;17:10;QUITO;HUAQUILLAS;15:30;53;55;58;62;67;77;79;80;1;2;3;;;;
6;19:30;HUAQUILLAS;QUITO;;51;53;55;58;62;67;77;79;80;1;2;;;;
7;17:30;QUITO;CARIAMANGA;;48;51;53;55;58;62;67;77;79;80;1;;;;
8;17:30;CARIAMANGA;QUITO;;47;48;51;53;55;58;62;67;77;79;80;;;;
9;21:30;QUITO;CUENCA;;46;47;48;51;53;55;58;62;67;77;79;;;;
10;21:30;CUENCA;QUITO;;43;46;47;48;51;53;55;58;62;67;77;;;;
11;23:00;QUITO;CUENCA;21:15;33;43;46;47;48;51;53;55;58;62;67;;;;
12;22:00;CUENCA;QUITO;;30;33;43;46;47;48;51;53;55;58;62;;;;
13;22:15;QUITO;LOJA;20:30;28;30;33;43;46;47;48;51;53;55;58;;;;
14;18:00;LOJA;QUITO;;24;28;30;33;43;46;47;48;51;53;55;;;;
15;10:00;QUITO;AMBATO;;22;24;28;30;33;43;46;47;48;51;53;;;;
;19:00;AMBATO;QUITO;;;;;;;;;;;;;;;;
;23:00;QUITO;GUAYAQUIL;;;;;;;;;;;;;;;;
16;10:00;GUAYAQUIL;LATACUNGA;;18;22;24;28;30;33;43;46;47;48;51;;;;
;23:30;AMBATO;GUAYAQUIL;;;;;;;;;;;;;;;;
17;20:00;GUAYAQUIL;QUITO;;15;18;22;24;28;30;33;43;46;47;48;;;;
18;6:00;QUITO;GUAYAQUIL;;3;15;18;22;24;28;30;33;43;46;47;;;;
;13:00;AMBATO;GUAYAQUIL;;;;;;;;;;;;;;;;
;23:00;GUAYAQUIL;QUITO;;;;;;;;;;;;;;;;
19;22:30;QUITO;MACHALA;;2;3;15;18;22;24;28;30;33;43;46;;;;
20;23:30;MACHALA;QUITO;;1;2;3;15;18;22;24;28;30;33;43;;;;
21;24:00:00;QUITO;CUENCA;22:30;80;1;2;3;15;18;22;24;28;30;33;;;;
22;18:00;CUENCA;QUITO;;79;80;1;2;3;15;18;22;24;28;30;;;;
23;15:50;QUITO;AMBATO;;77;79;80;1;2;3;15;18;22;24;28;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
